02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:80, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:00, ASCII: .
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:40, ASCII: @
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:00, ASCII: .
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:08, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x1(VOLUME_FRAME) DATA : Hex:01, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:0C, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:08, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:00, ASCII: .
02-15 19:14 root         INFO     FRAME ID 0x1(VOLUME_FRAME) DATA : Hex:E1, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:80, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:00, ASCII: .
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:40, ASCII: @
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:00, ASCII: .
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:08, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x1(VOLUME_FRAME) DATA : Hex:02, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:0C, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:08, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x11(REMOTE_COMMAND_FRAME) DATA : Hex:00, ASCII: .
02-15 19:14 root         INFO     FRAME ID 0x1(VOLUME_FRAME) DATA : Hex:E2, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x12(OPEN_DOOR_FRAME) DATA : Hex:80, ASCII: ?
02-15 19:14 root         INFO     FRAME ID 0x8(INFO_MSG_FRAME) DATA : Hex:00DEC84000000000, ASCII: .??@....
02-15 19:14 root         INFO     FRAME ID 0x10(AUDIO_SETTINGS_FRAME) DATA : Hex:3F3D403F418703, ASCII: ?=@?A??
02-15 19:14 root         INFO     FRAME ID 0x10(AUDIO_SETTINGS_FRAME) DATA : Hex:3F3D403F410703, ASCII: ?=@?A??
02-15 19:14 root         INFO     FRAME ID 0x8(INFO_MSG_FRAME) DATA : Hex:80DE484000000000, ASCII: ??H@....
02-15 19:14 root         INFO     FRAME ID 0x3(RADIO_SOURCE_FRAME) DATA : Hex:00, ASCII: .
02-15 19:14 root         INFO     FRAME ID 0x8(INFO_MSG_FRAME) DATA : Hex:7FFF00FFFFFFFFFF, ASCII: ??.?????
